export_type;scryfall_uuid;set_code;quantity;foil_quantity;card_name;set_name;cardMarketId;english_card_name;lang;collector_number
card;73b3ff57-1568-49a4-a031-6b5c868f17d1;plist;1;0;Puresteel Angel;The List;-;Puresteel Angel;EN;567
card;5b7d9208-883e-4fce-8750-c694398c4ea2;bfz;2;0;Mountain;Battle for Zendikar;284943;Mountain;EN;26697
card;2270bc46-b95f-48c6-9827-c067fa2dc00f;psal;1;0;Orgullo de Wirewood;Salvat 2005;-;Wirewood Pride;ES;6655
card;57063dc5-f353-4149-aad4-b376984e4ebd;tsp;2;0;Pantano;Time Spiral;14007;Swamp;ES;293
card;3c1d6a15-657b-456d-81fa-8c9a4051a70d;ddh;6;0;Llanura;Duel Decks: Ajani vs. Nicol Bolas;250513;Plains;ES;40
card;4825c59d-9e27-4a12-ba84-642b8540e573;tsoi;6;0;Shadows Over Innistrad Checklist 2;Shadows over Innistrad Tokens;-;Shadows Over Innistrad Checklist 2;EN;67722
card;017fb3fc-433e-4853-bbac-99fa04b40233;m21;7;0;Island;Core Set 2021;471179;Island;EN;264
card;ed2b75a0-4a75-41aa-9255-63390fa533aa;psal;3;0;Pantano;Salvat 2005;-;Swamp;ES;709
card;9591fd15-78d9-4089-a075-031ab2affd2d;znr;1;0;Plains;Zendikar Rising;494859;Plains;EN;266
card;832288fd-8031-4c2b-ad3e-b1ec9f94d379;mid;1;0;Overwhelmed Archivist // Archive Haunt;Innistrad: Midnight Hunt;574917;Overwhelmed Archivist // Archive Haunt;EN;68
card;38f6921d-4b0a-4f58-9c55-46b230ebd09c;psal;1;0;Canalizador de Wirewood;Salvat 2005;-;Wirewood Channeler;ES;6627
card;1bf48d2b-eb68-4f47-a80a-4751a4fa20a7;mid;2;0;Village Watch // Village Reavers;Innistrad: Midnight Hunt;574729;Village Watch // Village Reavers;EN;165
card;83b16e93-ee53-4c1b-9dea-6db7977e9c2f;m13;1;0;Swamp;Magic 2013;256407;Swamp;EN;238
card;5c2074a9-8b6f-4904-bb8c-ae705d31f2f1;afr;1;0;Pixie Guide;Adventures in the Forgotten Realms;571349;Pixie Guide;EN;309
card;0f51afd9-7093-4aa3-ad5b-7383684d6285;afr;1;0;Yuan-Ti Malison;Adventures in the Forgotten Realms;571217;Yuan-Ti Malison;EN;86
card;e5a52302-b615-4886-b7cf-5dd20e60cac7;isd;5;0;Bosque;Innistrad;250377;Forest;ES;262
card;7388f46c-d191-4ded-89c2-2be62ca3cb88;mid;3;0;Revelación eléctrica;Innistrad: Midnight Hunt;575054;Electric Revelation;ES;135
card;d4054ae6-0227-4d99-8cb5-72e8b5d0b726;mid;2;0;Vengeful Strangler // Strangling Grasp;Innistrad: Midnight Hunt;575042;Vengeful Strangler // Strangling Grasp;EN;126
card;267d4321-4411-499c-a476-70c805abf02a;nph;4;0;Swamp;New Phyrexia;245833;Swamp;EN;170
card;8cb6ea01-e3c5-4227-934e-3564073e3d60;mid;2;0;Velaguía de la encrucijada;Innistrad: Midnight Hunt;575091;Crossroads Candleguide;ES;253
card;e8cee108-3bf5-418f-bc80-4d1ec06adfe7;mid;2;1;Levantamiento de las hormigas;Innistrad: Midnight Hunt;574949;Rise of the Ants;ES;196
card;b058f6cc-ed37-4064-a3d0-c38d41606ccd;mid;1;0;Cosecha de la llamamuertos;Innistrad: Midnight Hunt;574800;Ghoulcaller's Harvest;ES;225
card;ab891f92-bd3c-4ef7-bfe2-855fb01f583e;ddp;5;0;Swamp;Duel Decks: Zendikar vs. Eldrazi;284173;Swamp;EN;70
card;6fae7689-a9df-4f69-8040-9fbe24f64838;soi;1;0;Swamp;Shadows over Innistrad;289023;Swamp;EN;290
card;e044e889-8f9d-4d2a-accf-83f5ba0a0da7;mid;1;0;Cultivos descuidados;Innistrad: Midnight Hunt;574760;Overgrown Farmland;ES;265
card;cbfc29b0-a72d-4f91-bc6c-86c79c626be8;proe;0;1;Emrakul, the Aeons Torn;Rise of the Eldrazi Promos;22412;Emrakul, the Aeons Torn;EN;40
card;6edd8a1a-a0ff-4d08-8192-c5c2be72211f;mic;1;0;Eloise, detective de Nephalia;Midnight Hunt Commander;575448;Eloise, Nephalia Sleuth;ES;3
card;fb6d08cf-a746-4147-91e3-180646de7158;bfz;2;0;Swamp;Battle for Zendikar;284940;Swamp;EN;26397
card;a64856ad-fe59-43ba-95c8-3a5839532dd9;psal;1;0;Hombre rata impuro;Salvat 2005;-;Dirty Wererat;ES;6531
card;f02ca6e4-e290-41a2-9ce7-6bc246cf9dc1;mid;1;0;Sabia del firmamento;Innistrad: Midnight Hunt;575021;Firmament Sage;ES;53
card;4abce511-dc89-4ae9-93d9-ddf248537662;psal;1;0;Leehuesos nezumi;Salvat 2005;-;Nezumi Bone-Reader;ES;6550
card;0d909e86-8b07-4ff2-bfb9-fa4d73afc4ac;8ed;1;0;Montaña;Eighth Edition;979;Mountain;ES;343
card;a546aaf1-65fb-4e2a-874d-302fb7b96340;mid;1;0;Salvadora sigardiana;Innistrad: Midnight Hunt;574935;Sigardian Savior;ES;34
card;925dee92-9c8d-4eef-a326-2fdae72b4328;mid;1;0;Tovolar, Dire Overlord // Tovolar, the Midnight Scourge;Innistrad: Midnight Hunt;574700;Tovolar, Dire Overlord // Tovolar, the Midnight Scourge;EN;311
card;d0e91036-eb02-465a-96f3-d2ac5656d0a8;psal;1;0;Contrato Infernal;Salvat 2005;-;Infernal Contract;ES;6513
card;2b1a2e5d-f236-4171-924b-0c67f315ffa5;mid;2;0;Zombie muerto de hambre;Innistrad: Midnight Hunt;574877;Larder Zombie;ES;58
card;405b531e-0f43-479c-9f8e-cf83f7b943a4;bfz;2;0;Plains;Battle for Zendikar;284929;Plains;EN;25297
card;862269d1-5866-4923-92e9-b252cf13df0c;plst;1;0;Reality Shift;The List;498630;Reality Shift;EN;67194592
card;91098481-46c2-49bf-8123-e9cab2f22b84;tznr;2;0;Angel Warrior;Zendikar Rising Tokens;-;Angel Warrior;EN;1
card;f16b8e7d-a14a-4e11-a53a-934030270286;psal;1;0;Secuestracráneos;Salvat 2005;-;Skullsnatcher;ES;654
card;7ab3a6ce-ff58-42fc-8b55-89ec29230f4c;8ed;4;0;Llanura;Eighth Edition;970;Plains;ES;334
card;580f081d-9b92-4053-b4d2-88fc862c53aa;mid;2;0;Inmolación;Innistrad: Midnight Hunt;574884;Immolation;ES;144
card;1d7b2d05-ce5c-4b73-8fa6-d9b69619d58c;mid;5;1;Tavern Ruffian // Tavern Smasher;Innistrad: Midnight Hunt;574701;Tavern Ruffian // Tavern Smasher;EN;163
card;6adb8607-1066-451d-a719-74ad32358278;tmid;4;0;Zombie;Innistrad: Midnight Hunt Tokens;-;Zombie;EN;5
card;0f52c82d-caec-4b7b-998d-0a1a67d6e64f;chk;6;0;Montaña;Champions of Kamigawa;12257;Mountain;ES;302
card;0481558e-c369-4942-aea4-526fbb7528f7;m21;4;0;Montaña;Core Set 2021;471154;Mountain;ES;269
card;8ab4a950-c558-42fc-ad9b-ce72b7dff817;bfz;2;0;Island;Battle for Zendikar;284935;Island;EN;25897
card;07d71fcf-562f-4fab-99b4-5d5849eabc53;psal;1;0;Bosque;Salvat 2005;-;Forest;ES;6646
card;c865bc02-0562-408c-b18e-0e66da906fc6;tmid;3;0;Spirit;Innistrad: Midnight Hunt Tokens;-;Spirit;EN;2
card;f40762f3-3f07-4eb1-866b-654a0fd1b9e8;mid;1;0;Campeón de los muertos;Innistrad: Midnight Hunt;573809;Champion of the Perished;ES;91
card;4b614b21-69ed-4788-97d7-ad502b634abb;mid;4;0;Snarling Wolf;Innistrad: Midnight Hunt;574692;Snarling Wolf;EN;199
card;fd461d9d-197d-4625-828c-f2d06e698633;mid;1;1;Cadáver improvisado;Innistrad: Midnight Hunt;574805;Corpse Cobble;ES;214
card;7f6af1df-2d8d-484b-ab91-79b601bcb0f6;mid;2;0;Capitán del equipo de búsqueda;Innistrad: Midnight Hunt;575014;Search Party Captain;ES;32
card;ed220158-e4e3-4d46-8098-7b940a923ce9;afr;0;1;Underdark Basilisk;Adventures in the Forgotten Realms;571863;Underdark Basilisk;EN;208
card;14fbc123-bb81-48cc-9d69-e4473d1479cf;m12;3;0;Pantano;Magic 2012;248044;Swamp;ES;238
